Season,Episode,Scenes per episode,Title,Title length,Abstract,Director,Rating
4,9,14,The One Where They're Going to Party!,37,Monica ends up having to choose between a head chef position or the catering business she started with Phoebe. Rachel is close to getting a promotion but tragedy strikes. Chandler and Ross are excited when an old friend is coming to town.,Peter Bonerz,7.9
4,10,16,The One with the Girl from Poughkeepsie,39,In order for her kitchen staff to acknowledge her authority Monica hires Joey so she can fire him in front of them. Chandler unsuccessfully tries to set Rachel up with a co-worker. Ross can't choose between two girls.,Gary Halvorson,8.1
4,11,11,The One with Phoebe's Uterus,28,Newlyweds Frank and Alice ask Phoebe to be their surrogate. Joey gets a job as a tour guide at Ross's museum. Chandler asks Monica and Rachel for advice on how to sexually satisfy Kathy.,David Steinberg,8.5
4,12,10,The One with the Embryos,24,Phoebe's uterus is examined for implantation of the embryos. Meanwhile a seemingly harmless game between Chandler and Joey against Monica and Rachel escalates into a full blown contest where the stakes are raised higher and higher.,Kevin Bright,9.5
4,13,13,The One with Rachel's Crush,27,After seeing Kathy's play Chandler becomes convinced she is cheating on him with her co-star. Rachel develops a crush on one of her customers. Monica becomes jealous when she realizes she is no longer the 'hostess'.,Dana De Vally Piazza,8.2
4,14,11,The One with Joey's Dirty Day,29,Joey arrives on the set of his latest movie unwashed after a three-day fishing trip with his dad. Rachel sets up Ross with the niece of her boss. Chandler goes through three phrases to help recover from Kathy cheating on him.,Peter Bonerz,8.2
4,15,14,The One with All the Rugby,26,Chandler runs into Janice and finds her more irritating than ever and creates an elaborate plan to break up with her. meanwhile Ross attempts to learn how to play rugby to impress Emily and Monica obsesses over a electric lighting switch.,James Burrows,8.5
4,16,7,The One with the Fake Party,27,Rachel organizes a fake good bye party for Emily so she can spend time with Joshua. A side effect from her pregnancy causes Phoebe to have a craving for meat.,Michael Lembeck,8.2
4,17,13,The One with the Free Porn,26,Chandler and Joey discover that they're getting a free porn channel on their TV. Monica encourages Ross to tell Emily he loves her just before she leaves for London. Phoebe gets a shock when she visits her OB-GYN.,Michael Lembeck,8.6
4,18,13,The One with Rachel's New Dress,31,Rachel has an awkward encounter with Joshua's parents. Phoebe is offered the chance to name one of the triplets. Ross becomes paranoid when Emily goes to London with Susan.,Gail Mancuso,8.3
